Visit_ID,Guest_ID,Visitor,spot,title,uri
21600.0,21600.0,Hr Ritter von Mannheim f. 4. Muff.,Muff,Werner Muff,http://de.wikipedia.org/wiki/Werner_Muff
21637.0,21637.0,Hr. Arnholdt von Heilbrunn Musi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21649.0,21649.0,Conrad Hettlinger von Winterthur f. 2.,Hettlinger,Johannes Hettlinger,http://de.wikipedia.org/wiki/Johannes_Hettlinger
21667.0,21667.0,Ein Franzöfischer Sergent. & 1 Recroût.,Sergent,Pierre Sergent,http://de.wikipedia.org/wiki/Pierre_Sergent
21680.0,21680.0,"Bertschinger von Lentzburg,",Bertschinger,Hafis Bertschinger,http://de.wikipedia.org/wiki/Hafis_Bertschinger
21681.0,21681.0,Hr. Arnholdt von Heilbronn Musi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21687.0,21687.0,Erchinger von Büesingen.,Erchinger,Dirk Erchinger,http://de.wikipedia.org/wiki/Dirk_Erchinger
21704.0,21704.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
21718.0,21718.0,Hr. Arnholdt von Heilbrunn Muf. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21722.0,21722.0,"Anton Bühler von Niderhofen,",Anton Bühler,Anton Bühler,http://de.wikipedia.org/wiki/Anton_B%C3%BChler
21727.0,21727.0,Bertschinger von Lentzburg.,Bertschinger,Willy Bertschinger,http://de.wikipedia.org/wiki/Willy_Bertschinger
21744.0,21744.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
21758.0,21758.0,Hr. Arnholdt von Heilbrunn Musi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21783.0,21783.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
21794.0,21794.0,Hr. Arnholdt von Heilbrunn Musi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21809.0,21809.0,Franz Schneider aus dem Entlibuch.,Franz Schneider,Franz Schneider (Schauspieler),http://de.wikipedia.org/wiki/Franz_Schneider_%28Schauspieler%29
21819.0,21819.0,Jr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
21823.0,21823.0,Morell de Savoye. Hr. Berchtold aus Tyrol.,Morell,Andreas Morell,http://de.wikipedia.org/wiki/Andreas_Morell
21837.0,21837.0,Hauri von Wildeck.,Hauri,Max Hauri,http://de.wikipedia.org/wiki/Max_Hauri
21838.0,21838.0,Hr Arnholdt von Heilbronn Muff. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21841.0,21841.0,Hr Ritter von Mannheim f. 4. Muff.,Muff,Werner Muff,http://de.wikipedia.org/wiki/Werner_Muff
21856.0,21856.0,Ferdinand Schmid von Augspurg.,Ferdinand Schmid,Ferdinand Schmid (Manager),http://de.wikipedia.org/wiki/Ferdinand_Schmid_%28Manager%29
21858.0,21858.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
21861.0,21861.0,Mr. Morell de Savoye f. 2.,Morell,Andreas Morell,http://de.wikipedia.org/wiki/Andreas_Morell
21870.0,21870.0,Hr. Arnholdt von Heilbrunn Muss. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21884.0,21884.0,"Ferdinand Schmid von Augspurg,",Ferdinand Schmid,Ferdinand Schmid (Manager),http://de.wikipedia.org/wiki/Ferdinand_Schmid_%28Manager%29
21887.0,21887.0,"Hr, Bayha Mahler von Stuttgardt.",Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
21896.0,21896.0,"Mr. Beaud de Savoye,",Beaud,Romain Beaud,http://de.wikipedia.org/wiki/Romain_Beaud
21902.0,21902.0,Hr Arnholdt von Heilbronn Mufi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21921.0,21921.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
21926.0,21926.0,Mächler von Altendorff,Mächler,Marc Mächler,http://de.wikipedia.org/wiki/Marc_M%C3%A4chler
21934.0,21934.0,Hr. Arnholdt von Heilbrunn Muff. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21936.0,21936.0,Hr Ritter von Manheim f. 4. Muff.,Muff,Sandra Sollberger-Muff,http://de.wikipedia.org/wiki/Sandra_Sollberger-Muff
21942.0,21942.0,Georg Hummel von Oehningen.,Georg Hummel,Georg Hummel,http://de.wikipedia.org/wiki/Georg_Hummel
21954.0,21954.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
21956.0,21956.0,"Franz Anton Bühler von Niderhoffen,",Anton Bühler,Anton Bühler,http://de.wikipedia.org/wiki/Anton_B%C3%BChler
