Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename,date_folder,start,end,spot,confidence,annotationid,title,uri,label,categories,types,alternateLabels,place,spot_match
7162,18 Juni 1781,1781-01-18,SCHWERDT,1.0,Miller von Lenzburg.,7162.0,4649285.txt,1781-06,267.0,275.0,Lenzburg,0.8284,173564.0,Lenzburg,http://de.wikipedia.org/wiki/Lenzburg,Lenzburg,"['Ersterwähnung 893', 'Ort im Kanton Aargau', 'Ortsbild von nationaler Bedeutung im Kanton Aargau', 'Schweizer Gemeinde', 'Stadtrechtsverleihung 1306']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Lenzburg'],1.0,1.0
7163,18 Juni 1781,1781-01-18,SCHWERDT,1.0,Maimonj von Strasburg f. 2.,7163.0,4649285.txt,1781-06,289.0,298.0,Strasburg,0.7837,433839.0,Strasburg (Uckermark),http://de.wikipedia.org/wiki/Strasburg_%28Uckermark%29,Strasburg,"['Ehemalige Kreisstadt in Mecklenburg-Vorpommern', 'Ersterwähnung 1267', 'Ort im Landkreis Vorpommern-Greifswald', 'Stadt in Mecklenburg-Vorpommern', 'Uckermark']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Strasburg (Uckermark)'],1.0,1.0
7164,18 Juni 1781,1781-01-18,SCHWERDT,1.0,Feyrabend von Basel Kr.                10 Ord. Kr.,7164.0,4649285.txt,1781-06,319.0,324.0,Basel,0.7654,8509.0,Basel,http://de.wikipedia.org/wiki/Basel,Basel,"['Basel', 'Hauptort eines Kantons (Schweiz)', 'Hochschul- oder Universitätsstadt in der Schweiz', 'Ort am Hochrhein', 'Ort am Oberrhein', 'Ort an der Wiese', 'Ort im Kanton Basel-Stadt', 'Ort mit Binnenhafen', 'Ortsbild von nationaler Bedeutung im Kanton Basel-Stadt', 'Reichsstadt', 'Schweizer Gemeinde', 'Stadt als Namensgeber für einen Asteroiden', 'Stadtrechtsverleihung 1264']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Basel', 'Basler', 'Stadt Basel', 'Basel-Gasfabrik', 'Bâle']",1.0,1.0
7166,18 Juni 1781,1781-01-18,STORCHEN,2.0,"Frz. Joseph Giboj von St. Gallen,",7166.0,4649285.txt,1781-06,428.0,438.0,St. Gallen,0.77,10513.0,St. Gallen,http://de.wikipedia.org/wiki/St._Gallen,St. Gallen,"['Gallus (Heiliger) als Namensgeber', 'Hauptort eines Kantons (Schweiz)', 'Hochschul- oder Universitätsstadt in der Schweiz', 'Ort an der Steinach (Bodensee)', 'Ort im Kanton St. Gallen', 'Ortsbild von nationaler Bedeutung im Kanton St. Gallen', 'Reichsstadt', 'Schweizer Gemeinde', 'St. Gallen']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['St. Gallen', 'St. Galler', 'Stadt St. Gallen', 'Sankt Gallen', 'Stadt']",1.0,1.0
7167,18 Juni 1781,1781-01-18,STORCHEN,2.0,Mettler von Strasburg.,7167.0,4649285.txt,1781-06,289.0,298.0,Strasburg,0.7837,433839.0,Strasburg (Uckermark),http://de.wikipedia.org/wiki/Strasburg_%28Uckermark%29,Strasburg,"['Ehemalige Kreisstadt in Mecklenburg-Vorpommern', 'Ersterwähnung 1267', 'Ort im Landkreis Vorpommern-Greifswald', 'Stadt in Mecklenburg-Vorpommern', 'Uckermark']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Strasburg (Uckermark)'],1.0,1.0
7168,18 Juni 1781,1781-01-18,STORCHEN,2.0,Abraham Wehrlj von Küttigen Kr.,7168.0,4649285.txt,1781-06,482.0,490.0,Küttigen,0.8754,420758.0,Küttigen,http://de.wikipedia.org/wiki/K%C3%BCttigen,Küttigen,"['Ersterwähnung 1036', 'Ort im Kanton Aargau', 'Schweizer Gemeinde']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Küttigen', 'Büren', 'Rombach', 'Rombach AG']",1.0,1.0
7169,18 Juni 1781,1781-01-18,STORCHEN,2.0,Bernhard Schmid von Hitzkirch.,7169.0,4649285.txt,1781-06,515.0,524.0,Hitzkirch,0.8492,460601.0,Hitzkirch,http://de.wikipedia.org/wiki/Hitzkirch,Hitzkirch,"['Ersterwähnung 1230', 'Hitzkirch', 'Ort im Kanton Luzern', 'Ortsbild von nationaler Bedeutung im Kanton Luzern', 'Schweizer Gemeinde']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Hitzkirch'],1.0,1.0
7170,18 Juni 1781,1781-01-18,STORCHEN,2.0,11 Ord. Kr.      4 Landl.      8 Handw.,7170.0,4649285.txt,1781-06,545.0,550.0,Landl,0.8039,999054.0,Landl,http://de.wikipedia.org/wiki/Landl,Landl,"['Eisenwurzen', 'Ennstaler Alpen', 'Gemeindegründung 2015', 'Hochschwab', 'Katastralgemeinde im Bezirk Liezen', 'Ort an der Enns', 'Salza (Enns)', 'Ybbstaler Alpen']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Landl'],1.0,1.0
7171,18 Juni 1781,1781-01-18,ADLER,3.0,Hr. Jean Noel D' Auvergne f. 2.,7171.0,4649285.txt,1781-06,590.0,598.0,Auvergne,0.666,85774.0,Auvergne,http://de.wikipedia.org/wiki/Auvergne,Auvergne,"['Aufgelöst 2015', 'Ehemalige französische Region', 'Geschichte (Auvergne-Rhône-Alpes)', 'Verwaltungseinheit als Namensgeber für einen Asteroiden']","['http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Auvergne', 'Auvergnatischen', 'Basse-Auvergne', 'FR-C']",1.0,1.0
7172,18 Juni 1781,1781-01-18,ADLER,3.0,"Simon Hofstetter von Reutlingen Kr,",7172.0,4649285.txt,1781-06,626.0,636.0,Reutlingen,0.7717,18165.0,Reutlingen,http://de.wikipedia.org/wiki/Reutlingen,Reutlingen,"['Ersterwähnung im 11. Jahrhundert', 'Große Kreisstadt in Baden-Württemberg', 'Kreisstadt in Baden-Württemberg', 'Ort auf der Schwäbischen Alb', 'Ort im Landkreis Reutlingen', 'Reichsstadt', 'Reutlingen', 'Weinort im Weinanbaugebiet Württemberg']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Reutlingen', 'Reutlinger', 'Ringelbach', 'Hohbuch', 'Katzensteg']",1.0,1.0
7173,18 Juni 1781,1781-01-18,ADLER,3.0,David Blisi von Glarus.,7173.0,4649285.txt,1781-06,657.0,663.0,Glarus,0.7816,1913.0,Glarus,http://de.wikipedia.org/wiki/Glarus,Glarus,"['Ersterwähnung im 8. Jahrhundert', 'Glarus', 'Hauptort eines Kantons (Schweiz)', 'Ort im Kanton Glarus', 'Ortsbild von nationaler Bedeutung im Kanton Glarus', 'Schweizer Gemeinde']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Glarus', 'Glarner']",1.0,1.0
7174,18 Juni 1781,1781-01-18,ADLER,3.0,Frau Wernerin von Balingen Kr.,7174.0,4649285.txt,1781-06,683.0,691.0,Balingen,0.8001,89075.0,Balingen,http://de.wikipedia.org/wiki/Balingen,Balingen,"['Balingen', 'Ersterwähnung 863', 'Große Kreisstadt in Baden-Württemberg', 'Kreisstadt in Baden-Württemberg', 'Ort an der Eyach (Neckar)', 'Ort auf der Schwäbischen Alb', 'Ort im Zollernalbkreis']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Balingen', 'Balinger']",1.0,1.0
7175,18 Juni 1781,1781-01-18,ADLER,3.0,"4 Landl.      7 Ord. Kr.      1 Handw,",7175.0,4649285.txt,1781-06,545.0,550.0,Landl,0.8039,999054.0,Landl,http://de.wikipedia.org/wiki/Landl,Landl,"['Eisenwurzen', 'Ennstaler Alpen', 'Gemeindegründung 2015', 'Hochschwab', 'Katastralgemeinde im Bezirk Liezen', 'Ort an der Enns', 'Salza (Enns)', 'Ybbstaler Alpen']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Landl'],1.0,1.0
7176,18 Juni 1781,1781-01-18,ROTHHAUS,4.0,Madame Trefslerin von Ludwigsburg.,7176.0,4649285.txt,1781-06,767.0,778.0,Ludwigsburg,0.7675,4698339.0,Ludwigsburg,http://de.wikipedia.org/wiki/Ludwigsburg,Ludwigsburg,"['Gegründet 1704', 'Große Kreisstadt in Baden-Württemberg', 'Kreisstadt in Baden-Württemberg', 'Ludwigsburg', 'Ort im Landkreis Ludwigsburg', 'Stadtrechtsverleihung 1718', 'Weinort im Weinanbaugebiet Württemberg']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Ludwigsburg', 'Stadt Ludwigsburg']",1.0,1.0
7178,18 Juni 1781,1781-01-18,ROTHHAUS,4.0,"15 Ord, Kr,      12 Landl.",7178.0,4649285.txt,1781-06,545.0,550.0,Landl,0.8039,999054.0,Landl,http://de.wikipedia.org/wiki/Landl,Landl,"['Eisenwurzen', 'Ennstaler Alpen', 'Gemeindegründung 2015', 'Hochschwab', 'Katastralgemeinde im Bezirk Liezen', 'Ort an der Enns', 'Salza (Enns)', 'Ybbstaler Alpen']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Landl'],1.0,1.0
7179,18 Juni 1781,1781-01-18,HIRSCHEN,5.0,"Hr. Wurtzbach. Hr, Kühnhold von Nürnberg Kr.",7179.0,4649285.txt,1781-06,877.0,885.0,Nürnberg,0.7492,3574.0,Nürnberg,http://de.wikipedia.org/wiki/N%C3%BCrnberg,Nürnberg,"['Ehemalige Kreisstadt in Bayern', 'Ehemaliger Residenzort in Bayern', 'Ersterwähnung 1050', 'Gemeinde in Bayern', 'Kreisfreie Stadt in Bayern', 'Nürnberg', 'Ort an der Pegnitz', 'Ort mit Binnenhafen', 'Reichsstadt in Bayern', 'Stadt als Namensgeber für einen Asteroiden', 'Träger des Europapreises']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Nürnberg', 'Stadt Nürnberg', 'Nürnberger', 'Noris', 'Nymphe Noris']",1.0,1.0
7182,18 Juni 1781,1781-01-18,HIRSCHEN,5.0,"4 Landl.      2 Handw.      14 Ord, Kr,",7182.0,4649285.txt,1781-06,545.0,550.0,Landl,0.8039,999054.0,Landl,http://de.wikipedia.org/wiki/Landl,Landl,"['Eisenwurzen', 'Ennstaler Alpen', 'Gemeindegründung 2015', 'Hochschwab', 'Katastralgemeinde im Bezirk Liezen', 'Ort an der Enns', 'Salza (Enns)', 'Ybbstaler Alpen']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Landl'],1.0,1.0
7184,18 Juni 1781,1781-01-18,RABEN,13.0,"Feit von Schaffhausen,",7184.0,4649285.txt,1781-06,1041.0,1053.0,Schaffhausen,0.8091,64155.0,Schaffhausen,http://de.wikipedia.org/wiki/Schaffhausen,Schaffhausen,"['Ersterwähnung 1045', 'Hauptort eines Kantons (Schweiz)', 'Klettgau', 'Ort am Hochrhein', 'Ort im Kanton Schaffhausen', 'Ortsbild von nationaler Bedeutung im Kanton Schaffhausen', 'Reichsstadt', 'Schaffhausen', 'Schweizer Gemeinde']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Schaffhausen', 'Schaffhauser', 'Stadt Schaffhausen', 'Bombardierung von Schaffhausen', 'Schafhausen']",1.0,1.0
7185,18 Juni 1781,1781-01-18,RABEN,13.0,Jacob Ryhener von Basel Kr.,7185.0,4649285.txt,1781-06,319.0,324.0,Basel,0.7654,8509.0,Basel,http://de.wikipedia.org/wiki/Basel,Basel,"['Basel', 'Hauptort eines Kantons (Schweiz)', 'Hochschul- oder Universitätsstadt in der Schweiz', 'Ort am Hochrhein', 'Ort am Oberrhein', 'Ort an der Wiese', 'Ort im Kanton Basel-Stadt', 'Ort mit Binnenhafen', 'Ortsbild von nationaler Bedeutung im Kanton Basel-Stadt', 'Reichsstadt', 'Schweizer Gemeinde', 'Stadt als Namensgeber für einen Asteroiden', 'Stadtrechtsverleihung 1264']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']","['Basel', 'Basler', 'Stadt Basel', 'Basel-Gasfabrik', 'Bâle']",1.0,1.0
7186,18 Juni 1781,1781-01-18,RABEN,13.0,Louis Chardon d' Epinal.,7186.0,4649285.txt,1781-06,1100.0,1106.0,Epinal,0.8681,715336.0,Épinal,http://de.wikipedia.org/wiki/%C3%89pinal,Épinal,"['Gegründet im 10. Jahrhundert', 'Ort an der Mosel', 'Ort in Grand Est', 'Präfektur in Frankreich', 'Stadt in Frankreich', 'Träger des Croix de guerre 1914–1918 (Ort in Frankreich)', 'Épinal']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Épinal'],1.0,1.0
7188,18 Juni 1781,1781-01-18,RABEN,13.0,9 Ord Kr      4 Landl,7188.0,4649285.txt,1781-06,545.0,550.0,Landl,0.8039,999054.0,Landl,http://de.wikipedia.org/wiki/Landl,Landl,"['Eisenwurzen', 'Ennstaler Alpen', 'Gemeindegründung 2015', 'Hochschwab', 'Katastralgemeinde im Bezirk Liezen', 'Ort an der Enns', 'Salza (Enns)', 'Ybbstaler Alpen']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Landl'],1.0,1.0
7193,18 Juni 1781,1781-01-18,ROESSLI,8.0,7 Ord Kr      01 Landl,7193.0,4649285.txt,1781-06,545.0,550.0,Landl,0.8039,999054.0,Landl,http://de.wikipedia.org/wiki/Landl,Landl,"['Eisenwurzen', 'Ennstaler Alpen', 'Gemeindegründung 2015', 'Hochschwab', 'Katastralgemeinde im Bezirk Liezen', 'Ort an der Enns', 'Salza (Enns)', 'Ybbstaler Alpen']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Landl'],1.0,1.0
7194,18 Juni 1781,1781-01-18,SCHWANEN,9.0,8 Ord. Kr.      3 Landl,7194.0,4649285.txt,1781-06,545.0,550.0,Landl,0.8039,999054.0,Landl,http://de.wikipedia.org/wiki/Landl,Landl,"['Eisenwurzen', 'Ennstaler Alpen', 'Gemeindegründung 2015', 'Hochschwab', 'Katastralgemeinde im Bezirk Liezen', 'Ort an der Enns', 'Salza (Enns)', 'Ybbstaler Alpen']","['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Landl'],1.0,1.0
7196,19 Juni 1781,1781-01-19,SCHWERDT,1.0,"Willmar. Hr. Kayser von Frankführt,",7196.0,4649287.txt,1781-06,84.0,91.0,Willmar,0.6959,7539266.0,Willmar (Minnesota),http://de.wikipedia.org/wiki/Willmar_%28Minnesota%29,Willmar,['County Seat in Minnesota'],"['http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location']",['Willmar'],1.0,1.0
