Visitor,Occurrences
ein frankfuhrter fuhrmann ſ 2,1
antoine faßanne di lucerno,1
5 holländische recroute,1
fünf leute von leipzig,1
mr franz croffe de soleure,1
1 handw 6 landl,1
1 holländischer recroiut,1
düppeler von tägerfelden f 3,1
albrecht felmann von glarus,1
3 handw 2 landl 4 schwaben,1
hauptmann luxinger von neftl,1
4 handw 6 landl 4 schwaben,1
14 schwaben 3 landl 2 handw,1
heinrich jesisperger von müllhausen f 2,1
hr adam heff von heigcloh,1
bonavia de turin,1
anna maria starkin von kaufbayern,1
amtsb von leipzig,1
1 holländischer recrout,1
2 herrn tschudi hr tschudi v von glarus,1
martin von metz ant welpomer von botzen,1
fr michael kern von bamberg f 3 müße,1
jacob metzger von flaweil,1
leonhardt iffer von wollen,1
anton hecht von tuttlingen,1
hr schwartz von winterthur f 2,1
1 holländischer recroút,1
labhardt von steckborren,1
schwendbühl von lachen f 2,1
georg widmer von alpnau f 2,1
2 landf,1
jgfr schmid von brugg,1
bortino von langensee f 2,1
5 handw 5 landl     2 schwaben,1
hr fridr kull von othmarfingen,1
caspar barroc aus bündten,1
carlo calvin von langenfee f 3,1
zandel von taegerfelden,1
ignatz müller von colmar jab biber von glarus,1
ochsner von schaffhaufen f 5  9 recrouten,1
2 hollaendischer recreut,1
mr berchold aus tyrol f 2,1
hr juftinus dietr kühl von isnach,1
leontj hitz aus dem sigenthal f 2,1
hr michael kern von bamberg f 3 mußc,1
2 handw 5 landl,1
1 neapolitanischer recroút,1
andreas zölpli von tägerfelden,1
fidel leu von näfels,1
joh tomman von st bläsi,1
2 handw 2 landl 2 schwaben,1
fridolin ulrich von schaffisheim,1
hr schmid von hizkirch,1
mr de thournes mr lullin mr boizier,1
philliph heinrich von genf,1
mr raymond mr hanhardt de geneve,1
meyer  lechfeutener von landegg,1
berch old aus tyrol f 2,1
hr mich winckler v schleitingen f 2,1
obrift von miller in neapolit diensten f 3,1
2 holländische recrouten,1
2 schwaben 8 landl 1 handw,1
4 handw    6 landl    3 schwaben,1
clemens oberwalder aus tyrol,1
le comte de montbelliard  2 damen aus dem elsafs,1
georg roth von oberdiggersheim,1
le chanoine de billieux von zurzach,1
wunschold von strasburg,1
hr düppeler von tägerfelden f 3,1
hbtm studer von luzern,1
joh hagg von frauenfeld,1
ant zum bühl von et ischweil,1
michael beüttler von auw,1
antoine fallaine di lucerno,1
besan de neuchatel,1
paßavant hr stern von franckfurth,1
sämtl che von leipzig,1
joh christ ziegenhain aus sachsen,1
1 holländischer recreut,1
joseph hänssler von einsidlen f 2,1
leopold ringold von constanz,1
jgfr gurin von baden,1
pierre matmier de geneve,1
sandauer aus tyrol,1
georg müller von pressburg,1
jac ruthishauler von gütingen,1
hr reday von stuttgardt,1
reinhardt von winterthur,1
vincent cufter von wurmfpach,1
kaelj von einfidlen f 2,1
mr chriftoff caffi di bergamo l 4,1
2 handw  5 landl  2 schwaben,1
5 pilger 2 handw,1
hr martin aus böhmen 7 handw,1
heinrich jäderspang von müllhausen f 2,1
jkr oberherr von wildeck und frau,1
hauptmann steiger in holländ dienften,1
hr zacharellj von augstahl,1
heußler von bafel,1
françois monde de nancy f 3,1
math frey von strasburg f 2,1
joseph preisli von grünstadt f 6,1
jgfr urfula zieglerin von memmingen,1
peter schwarzach von altingen,1
franz anton becklj von feldkirch,1
mr pizzala de milan f 2 brix aus böhmen f 2,1
5 handw 2 landl 2 schwaben,1
3 salzfuhrleuth aus lothringen,1
schacher von rheinfelden f 2,1
lieut von haitz vom kayserl regim berger,1
camerrath schmidt von tiengen f 3,1
sigler von küßnacht,1
chaam von kirizen 24 pilger,1
mr bono di belgirate,1
hr beutler von schongen,1
bottmann von lucern,1
billet mad de ferret aus dem elsaff,1
kreff von solothurn,1
hr caspar natter von frauenfeld f 2,1
hr merz von keysersheim f 8,1
4 handw         26 schwaben,1
caspar hirzel von dietikon,1
caspar werther v zug f 2,1
sulzer hr ernst hr hegner u frau v winterthur,1
joseph kramer von st gallen,1
mr christoff cotti di bergamo f 4,1
bühler aus dem schwarzwald,1
winsch aus böhmen,1
sr alfari di domodoffola f 2 calandre f 2 di belgirate,1
frau folterin von schaffhausen,1
mr le ministre gille mr gachard de geneve,1
kauffmann u frau v wintert herold von lörach,1
jean jaques rofe de befancon le pouri di arone,1
7 pilger 5 landl 1 handw,1
mazzachelli di gallazetti,1
gutroff von neuburg,1
jud hirschel von endigen f 2,1
sulzer hr von der mühl von bafel,1
bernoulli und hr davidt von bafel,1
hr martin hermann von tübingen,1
regierungs ht real von regenspurg,1
3 handw 7 landl,1
helbling portraitmahler vwien weber von glarus,1
frey hr schnell von basel,1
ein frankfurter fuhrmann 5 landleuth,1
1 holländischer recroüt,1
georg schärrer von einfidlen f 2,1
vogt von lachen f 2,1
laager f 2 hr tschudj von glarus f 4,1
jgfr maria magdalena schnebelj von stein,1
pierre bernard de mylan,1
7 pilger,1
1 schwab 1 handw,1
braun von kehl,1
morell de savoye,1
hr landammann mary von glarus,1
peter blank von bregenz,1
samuel glaud von lenzburg,1
hr isaac ab der halden von cappel,1
mr piano di belgirate,1
joh bürgy von waldsnut,1
jacob hafker hr knauff von winterthur,1
joh wyler von schwenigen,1
martin briner von mörikon,1
jof keil von neuhaufen bey stuttgardt,1
nicolaus liebling von karftadt 1 handw,1
8 laudleuth,1
schiess von herisau,1
jacob bühlmann von heffendorff f 4,1
balthasar rütimann von guntelingen f 2,1
laager f 2    hr schönenberger von glarus,1
christofero levi von hohenembs f 4,1
elisabetha krämerin von st gallen,1
felix schmid von büblikon,1
mr cottinj de lombard    hr schmid v constanz,1
hensler von basel,1
kapf hr hanhardt de geneve,1
rudolph f 3 von zurzach,1
hr conrad hirzig von büren,1
barade 2 schwaben 3 handw,1
6 leipziger fuhrleuth,1
arnold de lorraine,1
jacob diethelm von weinfelden,1
maria schmidt von billingen,1
hr lang von zofingen,1
joh wehrli von entweilen,1
conrad göz von neunforn,1
heinrich kreisel von nassau igstein,1
joh merz von kaysersheim f 4,1
hr lieutenant pfister von klingnau f 2,1
georg seiler von triboldingen,1
rigaud avocat de geneve,1
riedel von iserlohn hr busch vo basel,1
marx ribj von etmatingen f 2,1
kauffmann von regenburg,1
mr andré caffatj dom pizetti f 3 de milan,1
mayor tschudj von glarus,1
pfr falkeifen nebft frau und sohn beide von bafel,1
averj schweitzer von würmlingen f 2,1
hr joh merz von kayserheim f 9,1
1 schwab 1 handw 2 landl,1
mathias schmidlin von hapingen f 2,1
kirchhoffer hr weniger von st gallen,1
hr landtrath wirth hr rathsher grob v liechtensteg,1
michellettj di bilincona dentist,1
jacob hegnauer von seengen 2 landl,1
joh koch von sarnenstorff f 2,1
6 musicanten 1 handw 2 landl,1
cath monge de sivoye f 4,1
salome schmid von arau,1
martin tempel von basel,1
jgfr anna maria meyer von luzern,1
guyette mr mollar de lyon,1
hugenin aelter von mühlhaufen,1
fourrier de befanson,1
thirion de paris,1
riedel von iserlohn mr fortis de milan,1
9 landl 4 handw,1
ant vetterij von mundeisingen,1
lieut uhr von melingen 9 landl,1
hr schneider von entlibuch,1
lucas beutel von altltetten,1
jacob fried baltas von bietigheim f 4 mufi,1
mr faffanno f 4 mr dorell de mylan,1
joseph milego de neaple,1
christ sigmund von tübingen,1
doreil de mylan hr reiclj von klingnau,1
michellettj di bilincona dentini,1
5 landl 4 handw,1
8 schwab 4 handw 5 landl,1
kübler jgfr zornin von schaffhausen f 2,1
mr la pierre dauvergne f 2,1
xaverj schweitzer von wurzlingen f 2,1
2 handw 4 landl 20 schwaben,1
mr michelletti di bilinzona dentist,1
gyr de neufchatel hr näff von bremgarten,1
weniger von st gallen hr huny v strassburg,1
fassanno de siena mr mullj de turin,1
fortis de mylan mr mival de genes,1
gryssinark von regensburg,1
ryhener mr miller von basel,1
adam diethelm von weinfelden f 4,1
johannes biler von immenftadt,1
verena näff ab dem ebnat,1
damion oberhauser von guttenzell f 2,1
anton imhooff von bremgarten f 4,1
joseph guybert von wildhausen,1
fried chrift durft von bischoffzell f 2,1
mr andré callatj f 3 de milan,1
hr joh merz von kaylersheim f 9,1
hr georg berrer von augfpurg,1
mad boursiere de paris,1
ant knobel von altendorff f 4     7 landl,1
hr schindler von glarus     ant türkj v roschach,1
cappel von frauenfeld    omli von stans,1
amtmann oftwald von schaffhues n,1
laager von chur f 8,1
rühnhold von nürnberg,1
mr andre caffati f 3 de milan,1
12 schwab     1 handw     4 landl,1
sigfried von zofingen,1
johannes tödtj von altstatten,1
anton meyer aus dem entlibuch,1
fähndrich pfifter von klingnau,1
hr archivarius schickardt von stuttgardt,1
pater mayr pater teth auguftiner ord von conftanz,1
frido hertenftein von rofchach,1
6 handw 2 landl,1
hr sulzer von lausanne,1
probit de bielf f 2 mad blafius de raftatt,1
3 musicanten,1
hr xaveri kopp von münfter,1
baltensperger von basel,1
fassano de siena,1
miyat de genes,1
michelletti di bilinzona,1
emanuel dionif berber de fort louis f 2,1
horath clays von winterthur,1
doctor rohpletz von arau,1
micheletti di bilincona,1
hr simon kaisenheimer von solothurn f 2,1
hr fried gottlieb iselin von winterthur f 3,1
withon carol geistl von constanz,1
pierre mathé de neufchatel,1
6 musicanten von baaden,1
mr andré caffati f 3 de milan,1
mayor rotipletz von arau f 3,1
forti de mylan,1
lucas beutel von alftetten,1
2 landlenth,1
mad marianne blafius de raftatt f 2,1
hr zopff f 6 von glarus,1
fr fofterin von schaff haufen,1
ein bedienter von hrn baron v ufkiel von stuttgardt,1
roffel de neufchatel,1
toison de venise f 2,1
ortloff von magdenburg,1
meyer von steckboren,1
hr kauffmann von ehingen,1
audi de turin hr himly v strasburg,1
boffet mr otterwald de neufchatel,1
zwerch d ukraine,1
schelling von altorff,1
richter müller von glarus f 2,1
ender von altstetten    12 landl,1
jacob hartmann von schüpfen,1
fehr hr beck von brugg,1
georg schuhmann von gengen,1
mulli de turin,1
9 schwaben    4 landl    2 handw,1
meinrad oechslin von baaden,1
stähelin hr wetter von st gallen,1
rebattu de verfailles,1
bernold marfch dauvergne f 2,1
veit schmid von bübikon,1
ehrengesandte von glarus,1
cislago di verona,1
profeffor stähelin fämmtlich von basel,1
pfr falkeisen nebft frau und sohn,1
obrift eglinger,1
rathsherr faefch hr faefch,1
geelwin von amfterdam f 4,1
meifsner von görliz in sachfen f 3,1
bernold marich dauvergne f 2,1
anfelme de lyon,1
franz kurtz von landeeg,1
hr schneeli von glarus,1
1 handwerker,1
arnold holftein von neuburg,1
ein glashändler aus dem schwarzwald,1
marianne meimoud von landau,1
sufanna strikler von glarus f 2,1
anna maria kleinin von wefen f 2,1
jgfr ellfabetha rieggi von efchenbach f 2,1
joseph simon de nancy,1
berteaud mr simon de chalon fur sonne,1
dorell mr raffanno de mylan,1
frau fofterin von schaffhausen f 2,1
maranne bergerin von stauffen f,1
joseph mäntelj von münlisweil,1
fraulin de schmidt von bözftein f 2,1
hr frölich von brugg,1
ein kutscher von zug,1
guttmann von dettingen,1
mr delofia de morat,1
mr michellettj di bilincora dentilt,1
4 tyroler 4 landl,1
hr wolfgang wichser von glarus,1
jacob fried baltas von bietigheim f 4 musi,1
mufli de turin,1
dorell de mylan,1
marc schweikosler von augsburg f 4 mufi,1
brenner von weinfelden,1
2 ungarrer 2 handw,1
küntzli von winterthur,1
ziegler von schaffhausen,1
häussler hr feyrabend mahler von basel,1
beyde von liechtensteg,1
landrath haubtm wirth hr rathsherr grob,1
joseph morretti de grison,1
billweyler von st gallen    3 schwaben,1
fortis de mylan hr färber von mellheim,1
hr kieffer von mariakirch,1
hr martinglashändler aus böhmen f 2,1
jacob heer von st gallen,1
gaudy de rapperschweil f 2,1
joseph sala di barba,1
marianne schopin von st gallen,1
5 landl 2 handw,1
jacob fried baltas von rüdesheim f 5 muf,1
gavrati di lucarno,1
martin kuhnz von maynz,1
3 mulcanten 8 ländl 1 handw,1
judith wildin von st gallen,1
kuster von baaden,1
hr zopf f 6 von glarus,1
musli de turin,1
manella de grison f 5,1
grüttert von keftikon,1
mr delolia de morat,1
5 landl 3 handw,1
fried rutschica von stauffen f 2,1
hr zopfi f 2 von glarus,1
jacob fried baltas von bietigheim f 5 mus,1
rudolff von zurzach,1
ambrofius zambonj de mylan,1
sulzer von winterthur f 2,1
michael kern von bamberg f 3 muf,1
mr andré cassatj f 5 de milan,1
bella von strafsburg,1
heinrich binninger von mariakirch,1
probst von bielf mad blasius von rastatt,1
ferdinand keller von frauenfeld,1
heuſi von müllhorn,1
ulrich freußer von glarus,1
caspar ehrismann von zug,1
hr jennj von glarus,1
mr horret von toggen,1
jud levi von randegg f 2,1
michael kern von bamberg f 3 muß,1
paeffler von schweiz,1
jacob chaam von kirizen,1
hr dödj von augstahl,1
2 mann von königsfelden,1
sayler von straßburg,1
hr großmann von augspurg,1
hr conrad gaul von steckborren,1
charles la pierre de copet f 4,1
hr niclaus schneider von fischingen,1
hr neuweiler von frauenfeld f 2,1
mr bastard de strassburg,1
heinrich müller von lenzburg,1
marrocci de milan,1
jacob bosshardt von othmarsingen,1
hr mich winckler v schledingen f 3,1
caspar eglj von chur,1
jos frey von münchweilen,1
samuel fischer von arau,1
hr elias goldschmid von winterthur,1
balzet mr maganza mr bock de turin,1
2 leipziger fuhrleuth 6 landl,1
riedel von is rlonn,1
dely de constance,1
hr hartmann von maron,1
maurer von schaffhaufen,1
thomas schaetti von lachen,1
michael kern von bamberg f 3 musi,1
hr bürkly von brechthal,1
mr andré caffati f 5 de milan,1
hr huber von dieffenhofen,1
berteaud mr simon de chalon sur seaune,1
legler von glarus f 4,1
hr forrer von liechtenfteg,1
hr casper willj von villmergen f 2,1
müller kümmj von wollerau f 2,1
gaudy von rapperschweil,1
aeblin hr iselin von glarus f 4,1
martin herrmann von anfpach f 2,1
schmid aon conftanz,1
busse de châlons,1
ermenyaud de moulins,1
jacob naſt von heilbrunn f 2,1
mr andré caffa j f 3 de milan,1
andreas knöpfler von fryburg,1
landrichter wyler von rikenbach,1
undervogt eck von riken,1
erb beyde von retteschen,1
gräflich fte fürfprech pfifter hr haubtmann,1
12 landl consl,1
steger famt ehe von rechtenfleg,1
forrer hr rathsherr grob hr stadthaubtm,1
hr landtrath haubtm wirth hr landtsekelmeift,1
joh blum von endigen,1
4 brisgäuer tuchhändler,1
firz von tägerfelden f 2,1
mr von tanne di milano f 2,1
2 französische recroüt,1
händel von bozen,1
jud levi von randegg,1
ulrich graff von wolfhalden,1
ein kutscher von baaden  1 von bubikon,1
guftano von rapperschweil,1
joh heufler rud helbling von buffkirch,1
jodocus willhelm von belzau in bregenzerwald,1
faufter f 2 joh leuttenegger v münchweilen,1
mr andre caffati f 2 de milan,1
mr paffanno de lombard f 2,1
salomon zuber von gaehlingen f 2,1
georg spring von rothweil,1
mathieu de morat,1
bernhard kunnold von engen,1
hr berchtold von stiggen,1
hr gottfried martin aus böhmen f 1,1
2 schaffhauser fuhrleuth,1
3 bernbiether  1 freyämtler,1
leonti lieberheer von utznach,1
rathsherr schakini von thun,1
jacob stäublj von lunkenhoffen f 2,1
gemufeus von basel,1
ulrich frey von willigen f 2,1
sonié mr vergoz de meſch en franchecomté,1
hurter von schaffhauſen,1
hr michael kern von bamberg ſ 3 muſ,1
dominico pizzala de mylan,1
mr andré caſſatj ſ 3 de milan,1
chriſtina hauſſerin von tuttlingen,1
probst de bielf f 2 mad blasius de rastatt,1
hr gücinger von bischofszell,1
caspar menglj von schaffhausen,1
maria hafsler von al ftetten,1
reich von ebmat f 2,1
joh meyer aus hungarn f 2,1
hr laurenz huber von boffweil f 4,1
3 pilger,1
hr groffmann von augsburg,1
ein piemontesischer soldat,1
elmer von glarus,1
lieut rigelo hr freuler von uznach,1
benedict ochsner von einfidlen,1
david gottlieb von anſpach ſ 4,1
michael kern von bamberg ſ 5 muſ,1
hr mich winckler v schlettingen ſ 3,1
cath monchon de savoye ſ 3,1
wilhelm weibel von be tweil f 2,1
leonhardt franciscaner ordens von conftanz,1
samuel hunziker von chaam,1
fidelj cuſter von schmerikon,1
hr liderj von chur f 2,1
jos kienholzer aus dem schwarzwald,1
hr martin glashändler aus böhmen f 3,1
andreas saxer von sarnenſtorff,1
rudolf rodel von fahrwangen f 2,1
fuchs von rapperſchweil,1
roſina steinerin von balingen,1
anna fätschin von creuzlingen,1
andreas müller aus dem elſaſſ,1
dominico pitzala de milan,1
mr andré caſſati f 3 de milan,1
bernold march dauvergne f 4,1
hr joh merz von kayſersheim f 9,1
joh kuhnz von stettfort f 2,1
jacob eggk von lindau,1
2 turgäuer,1
hauptmann funk von bern,1
9 handw,1
reiny de salein,1
hr martin glashändler aus böhmen ſ 2,1
hr michael kern von bamberg f 3 muſ,1
walser von herisau,1
undervogt hausheer von cham f 2,1
michael kern von bamberg f 3 maj,1
14 schwaben 4 landl,1
mr andré cassatj f 2 de milan,1
14 schwaben 5 landl 4 handw,1
2 handw 4 landl 40 schwaben,1
hr aller von rheinach f 2,1
8 schwab 6 landl,1
cruchj de mylan,1
fr fofterin von schaffhaufen,1
mr andrè caffatj ſ 2 de milan,1
hr grossmann von augsburg,1
4 schwaben 2 handw,1
probft von bieff mad blafius von raftatt,1
mr bastard de strafsburg,1
1 schmeriker schiffmann,1
küenhold von nürnberg,1
michael kern von bamberg f 3 muff,1
ackerer von nussbaumen f 2,1
jacob baechler von egelshoffen f 2,1
jacob tallmann von lachen,1
3 schwaben,1
riedel von isrlohn,1
michael girtaner f 5 von st gallen,1
1 pilger,1
hr waldvogel von neukirch,1
hr grob von wattweil,1
hartmann von schefftenau f 2,1
chom  comp von glarus f 9,1
hr anton schmid von hitzkirch,1
peter höffliger von rapperſchweil,1
anton meyer von lucern f 3,1
joh diethelm von sibnen,1
laager hr chaim f 7 von glaru,1
hardtman von lenzburg,1
michael kern von bamberg f 3 muſi,1
hr unterv müller von schmerikon,1
georg witt von gebiltorf,1
mr andré caſſatj f 2 de milan,1
xaverj andreiſſy von steiffingen f 5 muſi,1
6 landl 4 handw,1
ein gerwer von immenstadt,1
peter iffer von wollen f 2 3 handw,1
hr ehren  gefandter pfifter von schaffhaufen,1
joh schnelj aus dem elsaß 7 landl,1
hugenin aelter von müllhaufen,1
weiſſ von offenheim,1
2 handw 6 landl 2 schwaben,1
6 zurzacher fuhrzacher,1
mr graechj di milano mar krieg v lachen f 3,1
schmidin von sursee,1
pater paulus franciscaner von constanz,1
kraufs virtios von ulm,1
steger von lichtenberg,1
bertrand v bischwegter,1
dalin von monjoge hr faber v mörseburg,1
oberlieut v merignan beyde v constanz,1
joh natter von langenrikenbach f 2,1
3 landl 2 handw,1
schärrer hr schweizer von peterszell f 4,1
mr simon cros de savoye mr volpilier de savoye,1
marx wart  comp von glarus,1
3 handw 5 landl,1
rizh mr beteretti di chiavenna f 8,1
zrildr v frutigen ulrich wildj v schaffisheim,1
1 landl 2 handw,1
aloysius heckli von schweiz,1
barb binder v thal,1
hr landrichter keffelring v märstetten f 3,1
hr wagmeister gysler v urj 5 landl,1
holtwey und frau von frankführt,1
bethmann von frankführt,1
landvogt tanner und,1
verena näffin von ebmat,1
bell von lucern,1
michael kern von bamberg f 3 music,1
baron  comp von augspurg,1
sandtner aus tyrol f 2,1
ein stadtläuffer von lenzburg,1
carl anton tuchettij di verona f 2,1
joseph anton maino de strafsburg,1
hein bopp von remingen,1
joh gallettij von glarus,1
mr cracclij di milan,1
cherbet von schafisheim,1
hr joseph mooser von hizkirch f 6,1
1 handw 5 landl,1
hr zobel von stuttgardt f 2,1
jof eggetschweiler von wangen,1
bell von lucerr aeberli von lachen f 6,1
2 handw 5 landl 2 schwaben,1
joh hombel von spongen,1
ant scharr aus amberg in bayern f 2,1
hr kefselring von märstetten f 2,1
hr rathsherr lagger f 8 v glarus,1
steinegger v lachen källin von einsidlen f 3,1
blum von fusach,1
mossu de troyes hr rudolph von zurzach,1
nussbaumer v ober egeri f 3,1
doctor gruber von gaiis f 2,1
hölslj von bärnbach 6 landl,1
barbara büritzellj von ober embs,1
mr charles centrier aus dem wirtenberg,1
pizzela de milan 1 schwaben fuhrmann,1
saurdtner aus tyrol,1
fürstl ch keller v sarmensdorff f 3,1
martin brenner von weinfelden  6 landl,1
adam schillmann von brudenz f 4,1
wenk hr zurcher von basel,1
moffa de troyes,1
ant gafsner von schindenlegi f 3,1
joanne de versailles,1
mr desousfecret de lyon,1
hr joh grob von liechtensteg,1
2 risgäuer buchhändler,1
anton barretti de milan,1
ein französischer soldat,1
mr gerombert dutznacht mr morell de savoye,1
daniel ernst von arau,1
hr joh nännj von herisau 2 landl,1
hbm fischer v bern hr dahn von monjoge,1
oberflyeo v witzigman beyde v constanz,1
passavant hr stähelin hr keller von basel,1
meuron de neuchatel,1
hr anton lüttold von bürren f 4,1
leonardo genaro von langenfee,1
hoguer de versailles hr meismer v rheineck f 2,1
jacob meyer von gehweil,1
straub von st gallen,1
tschudy hr wart von glarus,1
undervogt hugg von ramfthen,1
ulrich binder v rheinegg f 2 kehrli v schänaü,1
marie koch von berikon 2 schwaben,1
6 schwaben 7 landl,1
mr pizzala f 3 mr caffati de milan,1
2 landl 2 schwaben,1
rud völkli v schaffisheim 10 landl,1
1 kutscher v baaden 4 handw 2 schwaben,1
hr looser v wattweil f 2 thürry v herisau,1
jacob wehrly von langendorff,1
steger v lichtensteg hr gözi v underdäzen,1
hr ant mechel v altendorf custer v schmerikon,1
sächy de bellentz,1
3 flaweiler  1 lucerner fuhrmann,1
schultheis curty von rapperschwell,1
grimm  comp de soleure,1
lager hr winteler hr jenni von glarus,1
major convers de neufchatel,1
mr jean parade dauvergne f 3,1
mr christoff rocasly di bergamo f 4,1
ein postilion von waldtshut,1
2 oelhändler von rietlingen,1
fr mathias sandtner aus tyrol,1
forrer von winterthur,1
noel corbassier dauvergne,1
dromu de geneve,1
menoth de strafsburg,1
2 brisgäuer tuchhändler,1
meyer von lucern,1
hr franz anton widmer von eschenbach f 2,1
tschudy hr schindler hr hefty v glarus,1
3 handw 6 landl 2 schwaben,1
joseph sesiamno von langensee f 2,1
1 handw 9 landl,1
seraphina ringwaldin von carlsruh,1
hr meyer von esslingen,1
albertis von arbon,1
fespinger von basel,1
melchior martj von othmarſingen,1
gebrüder zum stein von stockach,1
5 leipziger fuhrleuth,1
ein kutfcher voc waldfhut,1
mr chriſtoff caſſe di bergamo f 4,1
joachim oetlj von luttorff,1
5 hilzinger muſicanten,1
ein appenzeller f 2,1
hr nicolaus lager u peter martin v glarus,1
joh rup von sargans,1
hr dappeler von tagerfelden f 3,1
friederich sattler von kirchheim,1
landvogt stähelin von näfels,1
joh könig von gebiftorff,1
jofeph pfand aus tyrol,1
meyrett von einfidlen,1
barth barretti dintra f 2,1
mr chriftoff caffe di bergamo f 4,1
weybel von lichtenfteg,1
antoine miffana von pefflingen,1
5 hitzinger mufi anten,1
reſpinger von basal,1
oswald weber von merzigen,1
fried schan von unterwalden,1
hr pfeffel von glarus f 2,1
lehn vogt burger von murj,1
sekelmeister mayer    hr rathsherr roschac,1
calandre    mr alzari de milan f 2,1
leonti lieberheer von goldingen,1
chrift kübler von reichenburg f 3,1
ant schättin von lachen,1
ant pfister von rothweil f 2,1
jgnatj straup von kirchzarg f 2,1
pürrer von rapperschweil,1
ant imhoof franz koch v bremgarten,1
ant muet von ammen,1
stadtricher vogler von frauenfeld,1
riedel von jserlohn,1
samuel flohr von kulm,1
andreas morsbrugger von bregenz,1
beß mr bridges anglois,1
hr hefftj von glarus f 2,1
conrad oechslj von schafhausen,1
dominico pirzzala de milan,1
hr joh bofshardt von zug,1
math aegerli von paßenweil f 3,1
3 landl 6 handw,1
4 handw 7 landl 9 schwaben,1
johann peter battian von augstahl,1
mr françois mondé de savoye,1
37 schwaben 2 landl,1
hr ignatius meyerhans von düettel,1
4 schwaben 4 landl,1
rütty von dieffenhoffen,1
statthalter müller von esch,1
de saufsure sämtliche de lausanne,1
secretan mr de brenler mr de crousaz,1
joh fischer von brinz f 2,1
sek imeister mayer hr rathsherr roschach,1
hr keusch von merischwanden,1
gotthard marck von ludwigsburg f 2,1
jacob meyer aus dem müenthal,1
wetzel von baaden,1
rothenburg aus dem wirtenberg,1
mr françois mondè dauvergne,1
eine frau aus dem toggenburg,1
sekelmeister mayer hr rathsherr roschach,1
2 frauen von lenzburg,1
frau elisabetha rieggl von eschenbach f 2,1
b von arbon,1
4 handw 3 landl,1
zulauff von brugg 7 landl,1
casp ehrismann von biel,1
jefr guttin von baaden 2 schwaben,1
haubtm bär v rosenthal in kayf diensten,1
hr jacob ulrich von waltehingen,1
freuler v glarus f 4 hr diethelm v lache,1
mr desouslaeret de lyon,1
doctor hubert von gails,1
joh schmid von hizkirch f 2,1
jacob hartmann von wattweil,1
3 brisgauer tuchhändler,1
jac meyer von errendingen f 2,1
perrola de savoye,1
hartmann von nürnberg     4 landl,1
brämj von rapperschweil,1
joh dirringer von algaü 8 landl,1
bodmer von wälflingen,1
baron tschudj von zarzach,1
hr kieser von lenzburg 10 landl,1
bannhard küchler von murj 2 handw,1
elisab kellerin von rikenbach f 2 2 schwab,1
chorli steinmann von stokach 2 pilger,1
vit schmid v büblikon 11 schwaben,1
11 schwaben 10 landl,1
krauß virtuos von ulm,1
hr lang aus sachsen 7 schwaben,1
stadtschreiber sultzer hr amtmann hegner,1
doctor gruber von gaiß,1
adam fischler von dieffenhoffen,1
däppeler von tägerfolden f 3,1
georg egloff von tägerweilen 3 landl,1
haas v hornberg hr bruder v ratstatt,1
christ streff von duttlingen f 2,1
georg schlatter von fillingen f 3,1
mr morell de savoye hr berchtold aus tyrol,1
hr david bachmann von stettfort f 2,1
1 holländischer soldat 14 landl,1
ulrich schweitzer von ebm f,1
major tschudj von glarus,1
probit d lyon hr sandtner aus tyrol,1
4 handw 3 landl 3 schwaben,1
1 kutscher von müllhausen,1
frz enteler v schweiz hr schnell v waltsen,1
2 schwaben 2 landl,1
rosina wäldin von stetten,1
müller pofter von wurmspach 14 landl,1
hr auguſtin steiner aus tyrol,1
jean biſſa di bergamo f 2,1
amb auſelmalz von tübingen,1
ruprecht widmer von sarnentorff,1
loyer von colmar f 2,1
spiegel von rapperſchweil,1
madm bürgj  1 poftillion von waldtshut,1
marg schindler von glarus,1
mr forell de geneve,1
jacob meyer aus dem muenthal,1
hr freuter von glarus f4,1
1 franzöfischer sergent  2 recrouten,1
pierre silahl de cleven,1
hr schäfer aus böhmer,1
joh schnell aus dem schwaben land f 7,1
hr prix aus böhmen f 2,1
singer von stein        3 landl,1
peter von feurthalen,1
hr kreich v tubingen musicus,1
laver von colmar f 2,1
lutz    hr fehr von bern,1
landfchreiber stedler von lentzburg,1
hr landfchreiber jenner aus dem freyamt,1
ein flaweller fuhrmann,1
hr pfau v schaffhausen f 2     7 schwaben,1
langlade de lyon     hr göde v tuttlingdn,1
doctor hubert von gais,1
jacob basler von steckboren,1
6 landl 1 handw,1
hr müllibach von tägerfelden f 3,1
4 landl 1 schwab,1
frz jof kauffmann von fullenbach,1
widder v gottlieben,1
zohlm baur von donauefchingen f 3,1
jofeph befoignez dauvergne f 2,1
tſchudj von glarus,1
neuffer von leutkirch,1
labhardt von kauffbayern,1
allemande in sardinifchen dienften,1
gaffner volontaire fämtliche vom regim royal,1
hauptmann khuon hr lieutenant khuon,1
layer von colmar f 2,1
spiegel von rapperfchweil,1
mr borell de geneve,1
vit schmid v bühlikon,1
jean bila di bergamo f 2,1
jof enz von batzenheit,1
miller von lindau,1
ognibene mr cassa piccola di pergine,1
kraus virtuos von ulm,1
joseph schmid von hizkirch,1
hs ulrich fromherz f 2,1
hr gottfried foster von uetwellen f 5,1
mr wille de grenoble,1
hr keusch von merlschwanden,1
anton mechler von altendorf,1
joseph franz von burgau,1
hr emanuel dirrmann von bern f 2,1
1 holländischer recroute,1
