Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename,date_folder,start,end,spot,confidence,annotationid,title,uri,label,categories,types,alternateLabels,place,person,spot_match
19271.0,3 September 1782,1782-01-03,SCHWERDT,1.0,"Mr. Scherb de Lyon,",19271.0,4651997.txt,1782-09,58.0,64.0,Scherb,0.6918,10694745.0,Brigitte Scherb,http://de.wikipedia.org/wiki/Brigitte_Scherb,Brigitte Scherb,"['Agrarpolitiker', 'Deutscher', 'Frau', 'Frauenrechtler (Deutschland)', 'Geboren 1954', 'Träger des Bundesverdienstkreuzes am Bande', 'Träger des Verdienstkreuzes des Niedersächsischen Verdienstordens (1. Klasse)']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Brigitte Scherb'],0.0,1.0,1.0
19310.0,5 September 1782,1782-01-05,SCHWERDT,1.0,Hr. Grooth Mahler von Stuttgardt.,19310.0,4652001.txt,1782-09,58.0,64.0,Grooth,0.6976,9596186.0,Johann Friedrich Grooth,http://de.wikipedia.org/wiki/Johann_Friedrich_Grooth,Johann Friedrich Grooth,"['Deutscher', 'Geboren 1717', 'Gestorben 1801', 'Maler (Deutschland)', 'Maler (Russland)', 'Mann', 'Tiermaler']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Friedrich Grooth'],0.0,1.0,1.0
19345.0,6 September 1782,1782-01-06,SCHWERDT,1.0,Hr. Grooth Mahler von Stuttgardt.,19345.0,4652003.txt,1782-09,58.0,64.0,Grooth,0.6976,9596186.0,Johann Friedrich Grooth,http://de.wikipedia.org/wiki/Johann_Friedrich_Grooth,Johann Friedrich Grooth,"['Deutscher', 'Geboren 1717', 'Gestorben 1801', 'Maler (Deutschland)', 'Maler (Russland)', 'Mann', 'Tiermaler']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Friedrich Grooth'],0.0,1.0,1.0
19386.0,9 September 1792,1792-01-09,SCHWERDT,1.0,Hr. Grooth Mahler von Stuttgardt.,19386.0,4652005.txt,1782-09,56.0,62.0,Grooth,0.6976,9596186.0,Johann Friedrich Grooth,http://de.wikipedia.org/wiki/Johann_Friedrich_Grooth,Johann Friedrich Grooth,"['Deutscher', 'Geboren 1717', 'Gestorben 1801', 'Maler (Deutschland)', 'Maler (Russland)', 'Mann', 'Tiermaler']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Johann Friedrich Grooth'],0.0,1.0,1.0
19440.0,10 September 1782,1782-01-10,ADLER,3.0,"Hr, Lieutenant Pfister von Klingnau.",19440.0,4652009.txt,,,,nan,,,,,,,,,,,1.0
19465.0,11 September 1782,1782-01-11,SCHWERDT,1.0,Hegnauer Hr Reinhardt von Winterthur Kr.,19465.0,4652011.txt,1782-09,126.0,134.0,Hegnauer,0.6959,11444920.0,Ralph Hegnauer,http://de.wikipedia.org/wiki/Ralph_Hegnauer,Ralph Hegnauer,"['Geboren 1910', 'Gestorben 1997', 'Mann', 'Person (Aarau)', 'Person (humanitäre Hilfe)', 'Person der Friedensbewegung', 'Person im Spanischen Bürgerkrieg', 'Schweizer']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Ralph Hegnauer'],0.0,1.0,1.0
19602.0,16 September 1782,1782-01-16,RAABEN,6.0,"Petitpierre de Neufchatel,",19602.0,4652019.txt,1782-09,817.0,828.0,Petitpierre,0.735,116476.0,Max Petitpierre,http://de.wikipedia.org/wiki/Max_Petitpierre,Max Petitpierre,"['Bundespräsident (Schweiz)', 'FDP-Mitglied (Schweiz)', 'Geboren 1899', 'Gestorben 1994', 'Hochschullehrer (Universität Neuenburg)', 'Korporierter im Schweizerischen Zofingerverein', 'Mann', 'Schweizer', 'Ständerat (Neuenburg)', 'Vorsteher des Eidgenössischen Departements für auswärtige Angelegenheiten']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Max Petitpierre', 'Max-Petitpierre']",0.0,1.0,1.0
19639.0,17 September 1782,1782-01-17,ROTHHAUS,4.0,Anton Sauter von Schweitz f. 2.,19639.0,4652021.txt,1782-09,708.0,720.0,Anton Sauter,0.8329,2127909.0,Anton Sauter,http://de.wikipedia.org/wiki/Anton_Sauter,Anton Sauter,"['Botaniker (19. Jahrhundert)', 'Geboren 1800', 'Gestorben 1881', 'Mann', 'Person (Kronland Salzburg)', 'Person (Salzburgkreis)', 'Träger des Franz-Joseph-Ordens (Ritter)']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Anton Sauter', 'Anton Eleutherius Sauter']",0.0,1.0,1.0
19665.0,18 September 1782,1782-01-18,SCHWERDT,1.0,Doctor Wegelin von Lindau.,19665.0,4652023.txt,1782-09,217.0,224.0,Wegelin,0.7021,6484485.0,Jürg Wegelin,http://de.wikipedia.org/wiki/J%C3%BCrg_Wegelin,Jürg Wegelin,"['Geboren 1944', 'Journalist (Schweiz)', 'Mann', 'Sachbuchautor', 'Schweizer', 'Wirtschaftsjournalist']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Jürg Wegelin'],0.0,1.0,1.0
19705.0,19 September 1782,1782-01-19,SCHWERDT,1.0,Doctor Wegelin von Lindau.,19705.0,4652025.txt,1782-09,191.0,198.0,Wegelin,0.7027,6484485.0,Jürg Wegelin,http://de.wikipedia.org/wiki/J%C3%BCrg_Wegelin,Jürg Wegelin,"['Geboren 1944', 'Journalist (Schweiz)', 'Mann', 'Sachbuchautor', 'Schweizer', 'Wirtschaftsjournalist']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Jürg Wegelin'],0.0,1.0,1.0
